pathogen,resistance,criteria,model type
"Pasteurella multocida","ARO:3002686","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002533","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3002533","perfect_strict","protein homolog model"
"Actinobacillus indolicus","ARO:3002533","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3002533","perfect_strict","protein homolog model"
"Serratia marcescens","ARO:3002533","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002533","perfect_strict","protein homolog model"
"Proteus mirabilis","ARO:3002533","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002533","perfect_strict","protein homolog model"
"Acinetobacter indicus","ARO:3002533","perfect_strict","protein homolog model"
"Morganella morganii","ARO:3002533","perfect_strict","protein homolog model"
"Klebsiella huaxiensis","ARO:3002533","perfect_strict","protein homolog model"
"Klebsiella michiganensis","ARO:3002220","perfect","protein homolog model"
"Klebsiella michiganensis","ARO:3002220","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002338","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002338","perfect","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002300","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002336","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002336","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002336","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002336","perfect","protein homolog model"
"Salmonella enterica","ARO:3002336","perfect_strict","protein homolog model"
"Aeromonas veronii","ARO:3002336","perfect_strict","protein homolog model"
"Aeromonas veronii","ARO:3002336","perfect","protein homolog model"
"Klebsiella michiganensis","ARO:3002336","perfect_strict","protein homolog model"
"Klebsiella michiganensis","ARO:3002336","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002764","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001051","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3001051","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002698","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002698","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002698","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002698","perfect","protein homolog model"
"Enterobacter hormaechei","ARO:3002698","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002698","perfect","protein homolog model"
"Neisseria meningitidis","ARO:3000535","perfect_strict","protein homolog model"
"Neisseria gonorrhoeae","ARO:3000535","perfect_strict","protein homolog model"
"Neisseria gonorrhoeae","ARO:3000535","perfect","protein homolog model"
"Staphylococcus aureus","ARO:3001195","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001195","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3001195","perfect_strict","protein homolog model"
"Mycobacterium tuberculosis","ARO:3003470","perfect_strict","protein variant model"
"Escherichia coli","ARO:3001048","perfect_strict","protein homolog model"
"Acinetobacter johnsonii","ARO:3002364","perfect_strict","protein homolog model"
"Acinetobacter johnsonii","ARO:3002364","perfect","protein homolog model"
"Citrobacter freundii","ARO:3002364","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3002364","perfect","protein homolog model"
"Parabacteroides distasonis","ARO:3002674","perfect_strict","protein homolog model"
"Neisseria gonorrhoeae","ARO:3000951","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3000951","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3000951","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000951","perfect","protein homolog model"
"Salmonella enterica","ARO:3000951","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000951","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000951","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3000951","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002324","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002324","perfect","protein homolog model"
"Escherichia coli","ARO:3002326","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002326","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001633","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3002732","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3002732","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002732","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002732","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3002732","perfect_strict","protein homolog model"
"Enterobacter kobei","ARO:3002732","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002732","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3002732","perfect_strict","protein homolog model"
"Serratia marcescens","ARO:3002732","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3002732","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002732","perfect_strict","protein homolog model"
"Enterobacter chengduensis","ARO:3002732","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002932","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3002932","perfect","protein homolog model"
"Enterococcus faecalis","ARO:3002932","perfect_strict","protein homolog model"
"Enterococcus faecalis","ARO:3002932","perfect","protein homolog model"
"Enterococcus faecium","ARO:3002932","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001662","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001662","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001662","perfect_strict","protein homolog model"
"Acinetobacter pittii","ARO:3001662","perfect","protein homolog model"
"Acinetobacter pittii","ARO:3001662","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3002617","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002617","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002617","perfect_strict","protein homolog model"
"Proteus mirabilis","ARO:3002617","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3002617","perfect_strict","protein homolog model"
"Staphylococcus aureus","ARO:3002617","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3002617","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002617","perfect_strict","protein homolog model"
"Citrobacter werkmanii","ARO:3002617","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002617","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3001930","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001930","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001930","perfect_strict","protein homolog model"
"Vibrio cholerae","ARO:3000921","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000921","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000921","perfect","protein homolog model"
"Escherichia coli","ARO:3000921","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000921","perfect","protein homolog model"
"Salmonella enterica","ARO:3000921","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3000921","perfect","protein homolog model"
"Mycobacterium tuberculosis","ARO:3003451","perfect_strict","protein variant model"
"Yersinia enterocolitica","ARO:3003049","perfect_strict","protein homolog model"
"Yersinia pestis","ARO:3003049","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3003049","perfect_strict","protein homolog model"
"Jeotgalibaca arthritidis","ARO:3000180","perfect_strict","protein homolog model"
"Clostridium perfringens","ARO:3000180","perfect","protein homolog model"
"Clostridioides difficile","ARO:3000180","perfect_strict","protein homolog model"
"Clostridium perfringens","ARO:3000180","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3001872","perfect","protein homolog model"
"Klebsiella oxytoca","ARO:3001872","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3001872","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3001872","perfect","protein homolog model"
"Klebsiella oxytoca","ARO:3001872","perfect","protein homolog model"
"Escherichia coli","ARO:3001872","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001872","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001872","perfect","protein homolog model"
"Escherichia coli","ARO:3001872","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3001872","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3001872","perfect","protein homolog model"
"Enterobacter cloacae","ARO:3001872","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3001872","perfect","protein homolog model"
"Citrobacter freundii","ARO:3001872","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3001872","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3001872","perfect","protein homolog model"
"Enterobacter roggenkampii","ARO:3001872","perfect_strict","protein homolog model"
"Enterobacter kobei","ARO:3001872","perfect","protein homolog model"
"Enterobacter roggenkampii","ARO:3001872","perfect","protein homolog model"
"Enterobacter kobei","ARO:3001872","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001943","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001943","perfect_strict","protein homolog model"
"Klebsiella michiganensis","ARO:3001943","perfect_strict","protein homolog model"
"Vibrio parahaemolyticus","ARO:3003175","perfect_strict","protein homolog model"
"Vibrio parahaemolyticus","ARO:3003175","perfect","protein homolog model"
"Shigella flexneri","ARO:3003576","perfect","protein homolog model"
"Shigella flexneri","ARO:3003576","perfect_strict","protein homolog model"
"Shigella dysenteriae","ARO:3003576","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3003576","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3003576","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3003576","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3003576","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3003576","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3003576","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3003576","perfect","protein homolog model"
"Klebsiella oxytoca","ARO:3003576","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3003576","perfect_strict","protein homolog model"
"Serratia marcescens","ARO:3003576","perfect_strict","protein homolog model"
"Haemophilus influenzae","ARO:3003576","perfect_strict","protein homolog model"
"Mycobacterium avium","ARO:3003576","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3003576","perfect_strict","protein homolog model"
"Burkholderia pseudomallei","ARO:3003576","perfect_strict","protein homolog model"
"Citrobacter amalonaticus","ARO:3003576","perfect_strict","protein homolog model"
"Escherichia marmotae","ARO:3003576","perfect_strict","protein homolog model"
"Escherichia fergusonii","ARO:3003576","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3003576","perfect","protein homolog model"
"Escherichia albertii","ARO:3003576","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3003576","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002789","perfect_strict","protein homolog model"
"Vibrio parahaemolyticus","ARO:3002789","perfect_strict","protein homolog model"
"Morganella morganii","ARO:3002789","perfect","protein homolog model"
"Vibrio cholerae","ARO:3002789","perfect_strict","protein homolog model"
"Proteus mirabilis","ARO:3002789","perfect_strict","protein homolog model"
"Proteus mirabilis","ARO:3002789","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002789","perfect_strict","protein homolog model"
"Stenotrophomonas maltophilia","ARO:3002789","perfect_strict","protein homolog model"
"Morganella morganii","ARO:3002789","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3002789","perfect_strict","protein homolog model"
"Proteus columbae","ARO:3002789","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3002969","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3002969","perfect","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002296","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002296","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002296","perfect","protein homolog model"
"Staphylococcus aureus","ARO:3000656","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3000656","perfect_strict","protein homolog model"
"Serratia marcescens","ARO:3000656","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000656","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3000656","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000656","perfect_strict","protein homolog model"
"Streptococcus pyogenes","ARO:3000656","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3000656","perfect","protein homolog model"
"Klebsiella oxytoca","ARO:3000656","perfect_strict","protein homolog model"
"Shigella flexneri","ARO:3000656","perfect","protein homolog model"
"Shigella sonnei","ARO:3000656","perfect_strict","protein homolog model"
"Shigella dysenteriae","ARO:3000656","perfect","protein homolog model"
"Shigella dysenteriae","ARO:3000656","perfect_strict","protein homolog model"
"Shigella flexneri","ARO:3000656","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3000656","perfect","protein homolog model"
"Enterobacter roggenkampii","ARO:3000656","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3000656","perfect_strict","protein homolog model"
"Escherichia fergusonii","ARO:3000656","perfect_strict","protein homolog model"
"Escherichia fergusonii","ARO:3000656","perfect","protein homolog model"
"Escherichia marmotae","ARO:3000656","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3001572","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001572","perfect_strict","protein homolog model"
"Citrobacter werkmanii","ARO:3002705","perfect_strict","protein homolog model"
"Streptococcus suis","ARO:3002705","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3002705","perfect","protein homolog model"
"Acinetobacter baumannii","ARO:3002705","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002705","perfect_strict","protein homolog model"
"Shigella flexneri","ARO:3002705","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002705","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3002705","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002705","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3002705","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002705","perfect","protein homolog model"
"Escherichia coli","ARO:3002705","perfect_strict","protein homolog model"
"Pasteurella multocida","ARO:3002705","perfect_strict","protein homolog model"
"Acinetobacter pittii","ARO:3002705","perfect_strict","protein homolog model"
"Serratia marcescens","ARO:3002705","perfect_strict","protein homolog model"
"Proteus mirabilis","ARO:3002705","perfect_strict","protein homolog model"
"Pseudomonas stutzeri","ARO:3002705","perfect_strict","protein homolog model"
"Vibrio cholerae","ARO:3002705","perfect_strict","protein homolog model"
"Aeromonas hydrophila","ARO:3002705","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3002705","perfect_strict","protein homolog model"
"Acinetobacter johnsonii","ARO:3002705","perfect_strict","protein homolog model"
"Acinetobacter haemolyticus","ARO:3002705","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3002705","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3002705","perfect_strict","protein homolog model"
"Aeromonas caviae","ARO:3002705","perfect_strict","protein homolog model"
"Morganella morganii","ARO:3002705","perfect_strict","protein homolog model"
"Enterobacter asburiae","ARO:3002705","perfect_strict","protein homolog model"
"Citrobacter amalonaticus","ARO:3002705","perfect_strict","protein homolog model"
"Myroides odoratimimus","ARO:3002705","perfect_strict","protein homolog model"
"Providencia stuartii","ARO:3002705","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3002705","perfect_strict","protein homolog model"
"Proteus vulgaris","ARO:3002705","perfect_strict","protein homolog model"
"Stenotrophomonas maltophilia","ARO:3002705","perfect_strict","protein homolog model"
"Acinetobacter lwoffii","ARO:3002705","perfect_strict","protein homolog model"
"Riemerella anatipestifer","ARO:3002705","perfect_strict","protein homolog model"
"Acinetobacter nosocomialis","ARO:3002705","perfect_strict","protein homolog model"
"Enterobacter roggenkampii","ARO:3002705","perfect_strict","protein homolog model"
"Raoultella planticola","ARO:3002705","perfect_strict","protein homolog model"
"Citrobacter youngae","ARO:3002705","perfect_strict","protein homolog model"
"Aeromonas veronii","ARO:3002705","perfect_strict","protein homolog model"
"Vibrio parahaemolyticus","ARO:3002705","perfect_strict","protein homolog model"
"Enterobacter chengduensis","ARO:3002705","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3002705","perfect_strict","protein homolog model"
"Glaesserella parasuis","ARO:3002705","perfect_strict","protein homolog model"
"Acinetobacter junii","ARO:3002705","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3002705","perfect_strict","protein homolog model"
"Acinetobacter indicus","ARO:3002705","perfect_strict","protein homolog model"
"Actinobacillus pleuropneumoniae","ARO:3002705","perfect_strict","protein homolog model"
"Acinetobacter towneri","ARO:3002705","perfect_strict","protein homolog model"
"Myroides phaeus","ARO:3002705","perfect_strict","protein homolog model"
"Escherichia fergusonii","ARO:3002705","perfect_strict","protein homolog model"
"Escherichia albertii","ARO:3002705","perfect_strict","protein homolog model"
"Leclercia adecarboxylata","ARO:3002705","perfect_strict","protein homolog model"
"Histophilus somni","ARO:3002705","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002705","perfect_strict","protein homolog model"
"Klebsiella michiganensis","ARO:3002705","perfect_strict","protein homolog model"
"Vibrio neocaledonicus","ARO:3002705","perfect_strict","protein homolog model"
"Shewanella putrefaciens","ARO:3002705","perfect_strict","protein homolog model"
"Proteus columbae","ARO:3002705","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3003020","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3003020","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3003020","perfect","protein homolog model"
"Escherichia coli","ARO:3003020","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3003020","perfect","protein homolog model"
"Escherichia coli","ARO:3003020","perfect","protein homolog model"
"Salmonella enterica","ARO:3003020","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3003020","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3003020","perfect_strict","protein homolog model"
"Enterobacter kobei","ARO:3003020","perfect","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3003020","perfect","protein homolog model"
"Enterobacter kobei","ARO:3003020","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002024","perfect","protein homolog model"
"Citrobacter portucalensis","ARO:3002024","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3002024","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3002024","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002024","perfect","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002024","perfect_strict","protein homolog model"
"Enterobacter asburiae","ARO:3001822","perfect_strict","protein homolog model"
"Enterobacter asburiae","ARO:3001822","perfect","protein homolog model"
"Enterobacter cloacae","ARO:3001822","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001096","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001096","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3003152","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002281","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3002281","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001909","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001909","perfect_strict","protein homolog model"
"Moraxella osloensis","ARO:3002255","perfect","protein homolog model"
"Acinetobacter nosocomialis","ARO:3002255","perfect_strict","protein homolog model"
"Acinetobacter nosocomialis","ARO:3002255","perfect","protein homolog model"
"Acinetobacter pittii","ARO:3002255","perfect_strict","protein homolog model"
"Acinetobacter pittii","ARO:3002255","perfect","protein homolog model"
"Acinetobacter baumannii","ARO:3002255","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3002255","perfect","protein homolog model"
"Acinetobacter towneri","ARO:3002255","perfect_strict","protein homolog model"
"Moraxella osloensis","ARO:3002255","perfect_strict","protein homolog model"
"Enterococcus faecalis","ARO:3004254","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3004254","perfect_strict","protein homolog model"
"Salmonella enterica","ARO:3003306","perfect_strict","protein variant model"
"Citrobacter portucalensis","ARO:3003306","perfect_strict","protein variant model"
"Shigella boydii","ARO:3003306","perfect_strict","protein variant model"
"Enterococcus faecalis","ARO:3003306","perfect_strict","protein variant model"
"Klebsiella pneumoniae","ARO:3003306","perfect_strict","protein variant model"
"Escherichia coli","ARO:3003306","perfect_strict","protein variant model"
"Proteus penneri","ARO:3003306","perfect_strict","protein variant model"
"Enterobacter kobei","ARO:3003306","perfect_strict","protein variant model"
"Serratia marcescens","ARO:3003306","perfect_strict","protein variant model"
"Proteus mirabilis","ARO:3003306","perfect_strict","protein variant model"
"Proteus vulgaris","ARO:3003306","perfect_strict","protein variant model"
"Citrobacter freundii","ARO:3003306","perfect_strict","protein variant model"
"Enterobacter cloacae","ARO:3003306","perfect_strict","protein variant model"
"Klebsiella oxytoca","ARO:3003306","perfect_strict","protein variant model"
"Citrobacter amalonaticus","ARO:3003306","perfect_strict","protein variant model"
"Escherichia marmotae","ARO:3003306","perfect_strict","protein variant model"
"Enterobacter roggenkampii","ARO:3003306","perfect_strict","protein variant model"
"Klebsiella huaxiensis","ARO:3003306","perfect_strict","protein variant model"
"Klebsiella michiganensis","ARO:3003306","perfect_strict","protein variant model"
"Proteus columbae","ARO:3003306","perfect_strict","protein variant model"
"Morganella morganii","ARO:3003306","perfect_strict","protein variant model"
"Streptococcus pyogenes","ARO:3000962","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000962","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000962","perfect_strict","protein homolog model"
"Haemophilus influenzae","ARO:3000962","perfect_strict","protein homolog model"
"Haemophilus influenzae","ARO:3000962","perfect","protein homolog model"
"Acinetobacter haemolyticus","ARO:3000962","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001672","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3001672","perfect","protein homolog model"
"Enterobacter kobei","ARO:3002772","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3000254","perfect_strict","protein homolog model"
"Klebsiella oxytoca","ARO:3000254","perfect_strict","protein homolog model"
"Shigella sonnei","ARO:3000254","perfect","protein homolog model"
"Klebsiella oxytoca","ARO:3000254","perfect","protein homolog model"
"Serratia marcescens","ARO:3000254","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000254","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000254","perfect","protein homolog model"
"Salmonella enterica","ARO:3000254","perfect_strict","protein homolog model"
"Listeria monocytogenes","ARO:3000254","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3000254","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000254","perfect_strict","protein homolog model"
"Streptococcus suis","ARO:3000254","perfect_strict","protein homolog model"
"Citrobacter amalonaticus","ARO:3000254","perfect_strict","protein homolog model"
"Shigella flexneri","ARO:3000254","perfect_strict","protein homolog model"
"Shigella flexneri","ARO:3000254","perfect","protein homolog model"
"Shigella dysenteriae","ARO:3000254","perfect_strict","protein homolog model"
"Shigella dysenteriae","ARO:3000254","perfect","protein homolog model"
"Escherichia fergusonii","ARO:3000254","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3000254","perfect_strict","protein homolog model"
"Shigella boydii","ARO:3000254","perfect","protein homolog model"
"Mycobacterium avium","ARO:3000254","perfect_strict","protein homolog model"
"Yersinia canariae","ARO:3000254","perfect_strict","protein homolog model"
"Escherichia marmotae","ARO:3000254","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000997","perfect_strict","protein homolog model"
"Enterobacter cloacae","ARO:3000997","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000779","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3000779","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3000779","perfect_strict","protein homolog model"
"Acinetobacter nosocomialis","ARO:3000779","perfect_strict","protein homolog model"
"Proteus mirabilis","ARO:3000779","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3000969","perfect_strict","protein homolog model"
"Acinetobacter baumannii","ARO:3002351","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002850","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002850","perfect","protein homolog model"
"Serratia marcescens","ARO:3002850","perfect","protein homolog model"
"Serratia marcescens","ARO:3002850","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002716","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002716","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3002716","perfect","protein homolog model"
"Citrobacter freundii","ARO:3002716","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3000970","perfect_strict","protein homolog model"
"Enterobacter hormaechei","ARO:3000970","perfect_strict","protein homolog model"
"Citrobacter portucalensis","ARO:3002084","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001977","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001977","perfect_strict","protein homolog model"
"Citrobacter freundii","ARO:3002743","perfect","protein homolog model"
"Citrobacter freundii","ARO:3002743","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002305","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3001783","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001783","perfect_strict","protein homolog model"
"Escherichia coli","ARO:3001783","perfect","protein homolog model"
"Enterococcus faecium","ARO:3002956","perfect_strict","protein homolog model"
"Enterococcus faecium","ARO:3002956","perfect","protein homolog model"
"Enterococcus faecalis","ARO:3002956","perfect_strict","protein homolog model"
"Enterococcus faecalis","ARO:3002956","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001068","perfect_strict","protein homolog model"
"Staphylococcus haemolyticus","ARO:3003047","perfect_strict","protein homolog model"
"Bacillus cereus","ARO:3003047","perfect_strict","protein homolog model"
"Enterococcus faecalis","ARO:3003047","perfect_strict","protein homolog model"
"Staphylococcus aureus","ARO:3003047","perfect_strict","protein homolog model"
"Staphylococcus epidermidis","ARO:3003047","perfect_strict","protein homolog model"
"Staphylococcus hominis","ARO:3003047","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002441","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002441","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001047","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002439","perfect","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002439","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3002439","perfect_strict","protein homolog model"
"Klebsiella quasipneumoniae","ARO:3002439","perfect","protein homolog model"
"Klebsiella pneumoniae","ARO:3001136","perfect_strict","protein homolog model"
"Pseudomonas aeruginosa","ARO:3001426","perfect_strict","protein homolog model"
"Klebsiella pneumoniae","ARO:3001882","perfect_strict","protein homolog model"
"Aeromonas hydrophila","ARO:3001882","perfect_strict","protein homolog model"
"Bacillus velezensis","ARO:3002814","perfect_strict","protein homolog model"
"Bacillus amyloliquefaciens","ARO:3002814","perfect_strict","protein homolog model"
"Bacillus amyloliquefaciens","ARO:3002814","perfect","protein homolog model"
"Bacillus subtilis","ARO:3002814","perfect_strict","protein homolog model"
"Bacillus velezensis","ARO:3002814","perfect","protein homolog model"
"Enterobacter hormaechei","ARO:3002545","perfect_strict","protein homolog model"
"Providencia rettgeri","ARO:3002545","perfect_strict","protein homolog model"
